职位,薪资,城市,经验,学历,公司,公司领域,公司性质,公司规模,福利标签,技能标签,岗位描述
双语金融经济老师,7千-1.2万,南京·鼓楼区,1年及以上,本科,南京美康星教育科技有限公司,教育/培训/院校,民营,少于50人,,教学;英语;电脑;教学方法;英文;课程授课;多媒体;金融经济;职业晋升,
Alevel经济导师-光华好奇,1.1-1.5万·13薪,上海·杨浦区,1年及以上,本科,上海日月光华教育投资有限公司,教育/培训/院校,民营,150-500人,五险一金;补充医疗保险;交通补贴;通讯补贴,教学;教育;经济;国际学校;艾德思;爱德思;剑桥;alevel;cie,
金融研究员（银行、保险方向）,1-2万,深圳·南山区,2年及以上,硕士,前海富石资产管理（深圳）有限公司,金融/投资/证券,民营,少于50人,保险;保险行业;绩效奖金,金融;银行;经济;金融行业;市场动态;报告撰写;研究报告;年终奖金;专业培训,
IB AP 双语物化生经济线上教师,1.2-1.8万,,无需经验,本科,深圳市凌宇教育科技有限公司,教育/培训/院校,民营,未知,社保;五险一金,igcse;alevel;ap;ib;专业培训;兼职;全职;线上办公;年轻化;公积金;节假日,
DSE经济教师,8千-1.5万,深圳·南山区,1年,本科,广州全人教育投资发展有限公司,教育/培训/院校,合资,50-150人,节日福利;交通补贴;五险一金;绩效奖,高中;经济教师;年终奖;奖金;职业发展;晋升机制;发展空间;法定假期,
研究所-商品研究部-研究岗G01243,2-4万,深圳·福田区,3-5年,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利,餐补;定期体检,
证券研究所-行业分析师岗（创新药方向）,1-1.8万,上海·浦东新区,1年及以上,硕士,爱建证券有限责任公司,金融/投资/证券,国企,500-1000人,,,
股票研究员,1.5-3万,北京·海淀区,无需经验,本科,北京博岳资产管理有限公司,金融/投资/证券,民营,少于50人,绩效奖金;五险一金;餐饮补贴,年终奖金,
Administrative Assistant（英语、经济学）,1.2-1.4万,北京·朝阳区,1年及以上,本科,北京外企人力资源服务有限公司,专业服务(咨询、人力资源、财会),国企,10000人以上,节日福利;带薪年假;五险一金;补充医疗保险,英语;***;意外险;年终奖金;定期体检;周末双休;食堂;通讯补助,
研究所-商品研究部-研究岗G01243,2-4万,北京,3-5年,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利,餐补;定期体检,
DSE经济教师,8千-1.5万,深圳·南山区,1年,本科,广州全人教育投资发展有限公司,教育/培训/院校,合资,50-150人,节日福利;交通补贴;五险一金;绩效奖,高中;经济教师;年终奖;奖金;职业发展;晋升机制;发展空间;法定假期,
宏观经济分析师（金融投资课程方向）,1-2万,上海·徐汇区,1年及以上,本科,上海正善合文化传播发展有限公司,教育/培训/院校,民营,少于50人,,,
经济与管理-学术期刊编辑,7.5千-1.5万,武汉·洪山区,无需经验,本科,武汉爱智汇信息科技有限公司,计算机软件,民营,未知,交通补贴;五险一金;节日福利,计算机;化学;数学;管理学;经济学;雅思;信息管理;托福;英语六级;处理稿件,
研究所-商品研究部-研究岗G01243,2-4万,上海·浦东新区,3-5年,硕士,中信期货有限公司,金融/投资/证券,国企,1000-5000人,五险一金;绩效奖金;通讯补贴;带薪年假;补充医疗保险;节日福利,餐补;定期体检,
